feature,selection_score,importance_score,vote_score
ema_50_ratio,1.0,0.048915666,1.0
sma_120_ratio,1.0,0.047701374,1.0
sma_50_ratio,1.0,0.045002755,1.0
sma_200_ratio,1.0,0.04191657,1.0
close,1.0,0.041537363,1.0
momentum_60,1.0,0.040868286,1.0
cci,1.0,0.037796948,1.0
momentum_30,1.0,0.036552675,1.0
stoch_d,1.0,0.03651335,1.0
trend_strength_60,1.0,0.035993747,1.0
price_sma_10_distance_ma,1.0,0.033809114,1.0
macd_signal,1.0,0.03338906,1.0
rsi_ma,1.0,0.03316078,1.0
vpt_ratio,1.0,0.032930315,1.0
sma_20_ratio,1.0,0.032237403,1.0
vpt,1.0,0.032046743,1.0
volume_std_60,1.0,0.031948272,1.0
price_position_50,1.0,0.029061384,1.0
price_channel_position_30,1.0,0.028123304,1.0
momentum_20,1.0,0.02542841,1.0
volatility_30d,1.0,0.02413409,1.0
open,1.0,0.023711523,1.0
high_change_5d,1.0,0.023283642,1.0
price_sma_5_distance_ma,1.0,0.021768188,1.0
ema_20_ratio,1.0,0.021343155,1.0
sma_100_ratio,1.0,0.020844806,1.0
williams_r,1.0,0.020831438,1.0
bb_position,1.0,0.019462375,1.0
roc_5,1.0,0.01880209,1.0
price_position_10,1.0,0.018633725,1.0
ema_30_distance,1.0,0.0168912,1.0
sma_10_ratio,1.0,0.016250227,1.0
price_position_5,1.0,0.015694657,1.0
rsi,1.0,0.013415336,1.0
price_change_30d,1.0,0.0,1.0
sma_120_distance,1.0,0.0,1.0
price_change_60d,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
relative_strength_200,1.0,0.0,1.0
relative_strength,1.0,0.0,1.0
price_sma_20_distance,1.0,0.0,1.0
stoch_k,1.0,0.0,1.0
roc_20,1.0,0.0,1.0
price_momentum_20,1.0,0.0,1.0
price_change_20d,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
price_sma_10_distance,1.0,0.0,1.0
