feature,importance
sma_20_ratio,3.0080587e-06
momentum_20,2.6271032e-06
close,2.4148158e-06
price_sma_10_distance,2.3583234e-06
price_momentum_20,2.271873e-06
price_change_20d,2.0809457e-06
open,1.9668512e-06
roc_20,1.894961e-06
relative_strength_200,1.8085726e-06
vpt_ratio,1.7193979e-06
roc_5,1.6764407e-06
sma_200_ratio,1.5830193e-06
rsi,1.4945022e-06
relative_strength,1.4619926e-06
price_sma_5_distance_ma,1.416942e-06
price_change_30d,1.397266e-06
price_change_5d,1.3776596e-06
price_change_60d,1.3426547e-06
price_sma_10_distance_ma,1.2791188e-06
sma_10_ratio,1.2398501e-06
high_change_5d,1.2328582e-06
ema_50_ratio,1.2308118e-06
bb_position,1.2210608e-06
vpt,1.2154418e-06
sma_120_ratio,1.2035918e-06
ema_30_distance,1.1762702e-06
momentum_5,1.1729524e-06
momentum_30,1.1708797e-06
ema_20_ratio,1.1638723e-06
momentum_60,1.1614427e-06
trend_strength_60,1.1400351e-06
price_momentum_5,1.0098538e-06
volatility_30d_annualized,1.0079273e-06
sma_120_distance,9.986273e-07
rsi_ma,9.752761e-07
macd_signal,9.708141e-07
sma_50_ratio,9.580555e-07
cci,9.243528e-07
ema_30_ratio,8.966183e-07
price_sma_50_distance,8.6789214e-07
price_sma_20_distance,8.3768646e-07
sma_100_ratio,8.358761e-07
volume_std_60,7.576522e-07
williams_r,6.9705186e-07
price_position_50,6.9639356e-07
price_channel_position_30,6.7222356e-07
stoch_k,6.5254375e-07
price_position_10,5.7071327e-07
stoch_d,4.834907e-07
price_position_5,3.8868595e-07
