feature,importance
price_momentum_5,0.047939897
atr,0.032352544
ema_10,0.032160882
ema_20,0.03172435
high,0.029466279
month,0.028876873
volatility_10d,0.028466403
close,0.027833693
sma_10_ratio,0.027368098
bb_lower,0.026919572
volume_ratio_5,0.025809592
vpt,0.02481575
low_change_5d,0.02453632
open,0.024516808
volatility_10d_annualized,0.024515506
price_sma_5_distance_ma,0.024006885
day_of_year,0.023838809
vwap_ratio,0.023467604
sma_50,0.023427585
price_acceleration,0.023139052
ema_50,0.02245561
momentum_5,0.022231689
sma_20,0.022195611
sma_5,0.021910777
bb_width_ratio,0.021716168
low_change_2d,0.021461079
low_change_3d,0.021367533
volume_ma_5,0.021351118
month_sin,0.02110153
macd_histogram,0.020633608
bb_width,0.019383293
sma_10,0.019212758
volume_change,0.019181661
volume_ma_20,0.018583272
price_sma_10_distance_ma,0.018331856
ema_5,0.018076444
price_sma_20_distance_ma,0.017913423
sma_20_ratio,0.017606467
day_cos,0.015947143
sma_200_ratio,0.015604839
bb_upper,0.013536535
low,0.012047381
macd_signal_momentum,0.011491841
price_change_5d,0.011475943
stock splits,0.0
capital gains,0.0
bb_middle,0.0
roc_5,0.0
dividends,0.0
rsi_oversold,0.0
