true_label,pred_prob_0,pred_prob_1,prediction
1,0.509313,0.49068698,0
0,0.37311554,0.62688446,1
0,0.37416387,0.62583613,1
1,0.36157173,0.6384283,1
0,0.4192108,0.5807892,1
0,0.33184677,0.6681532,1
0,0.57247174,0.42752826,0
1,0.5945976,0.4054024,0
0,0.6120896,0.38791043,0
0,0.6411728,0.35882717,0
0,0.72008145,0.27991858,0
0,0.429389,0.570611,1
1,0.5692989,0.43070108,0
1,0.36765736,0.63234264,1
1,0.5283867,0.4716133,0
0,0.56054485,0.43945518,0
0,0.55162334,0.44837666,0
1,0.591689,0.40831098,0
1,0.70617133,0.29382867,0
1,0.839329,0.16067097,0
1,0.87871957,0.12128044,0
1,0.83219683,0.16780315,0
1,0.7919786,0.2080214,0
0,0.7859676,0.21403244,0
0,0.82018536,0.17981462,0
0,0.54606265,0.45393735,0
0,0.5369797,0.46302032,0
1,0.39119107,0.60880893,1
0,0.5926311,0.40736893,0
0,0.48889506,0.51110494,1
0,0.58893996,0.41106004,0
1,0.66123754,0.33876246,0
1,0.8212376,0.17876236,0
1,0.9467473,0.05325272,0
1,0.7172215,0.28277853,0
1,0.7397619,0.2602381,0
0,0.8064486,0.19355144,0
0,0.8374177,0.16258226,0
0,0.82646835,0.17353167,0
1,0.6908897,0.30911028,0
0,0.66626954,0.3337305,0
0,0.6151651,0.3848349,0
0,0.5670122,0.4329878,0
0,0.6078807,0.39211926,0
0,0.6770962,0.3229038,0
0,0.68933296,0.31066704,0
0,0.76208997,0.23791006,0
0,0.68996716,0.31003284,0
0,0.72857237,0.27142763,0
1,0.43687838,0.5631216,1
0,0.2596373,0.7403627,1
0,0.4945407,0.5054593,1
1,0.20513636,0.79486364,1
0,0.53531206,0.46468794,0
0,0.48161316,0.51838684,1
0,0.40142804,0.59857196,1
1,0.5741357,0.42586428,0
1,0.29466075,0.70533925,1
1,0.40324414,0.59675586,1
1,0.5071672,0.49283275,0
1,0.70321345,0.29678658,0
1,0.81268203,0.18731798,0
1,0.37764543,0.62235457,1
1,0.3331284,0.6668716,1
1,0.82065743,0.17934257,0
1,0.7841544,0.21584556,0
0,0.8796655,0.12033449,0
0,0.6765271,0.32347292,0
0,0.508011,0.49198905,0
1,0.25931406,0.74068594,1
0,0.22082019,0.7791798,1
0,0.18001723,0.81998277,1
0,0.24032503,0.75967497,1
0,0.076924324,0.9230757,1
0,0.10622591,0.8937741,1
0,0.2169612,0.7830388,1
0,0.18046522,0.8195348,1
0,0.44594604,0.55405396,1
0,0.4274115,0.5725885,1
1,0.5360509,0.4639491,0
1,0.19349492,0.8065051,1
1,0.6189493,0.38105074,0
1,0.6385664,0.36143366,0
0,0.5316735,0.4683265,0
0,0.63015157,0.36984843,0
1,0.8253509,0.17464915,0
1,0.7052336,0.29476646,0
1,0.6044453,0.39555472,0
0,0.5894029,0.41059706,0
1,0.51952434,0.48047563,0
1,0.50782806,0.49217194,0
0,0.5879897,0.4120103,0
0,0.2538147,0.7461853,1
0,0.2271604,0.7728396,1
0,0.17668611,0.8233139,1
0,0.40927303,0.590727,1
0,0.495138,0.504862,1
0,0.36045742,0.6395426,1
1,0.40465868,0.5953413,1
0,0.63850045,0.36149952,0
1,0.48268282,0.5173172,1
1,0.7635994,0.23640057,0
0,0.65684503,0.34315497,0
0,0.73512435,0.26487565,0
0,0.7397295,0.2602705,0
0,0.7372757,0.26272428,0
0,0.6573358,0.34266418,0
1,0.6656922,0.33430782,0
1,0.6674708,0.3325292,0
0,0.46918368,0.5308163,1
0,0.54665,0.45335,0
0,0.7243224,0.27567762,0
1,0.5850121,0.41498795,0
1,0.48023164,0.51976836,1
0,0.66217935,0.33782062,0
0,0.70265293,0.2973471,0
0,0.5583165,0.44168347,0
0,0.9213344,0.078665584,0
1,0.7465689,0.2534311,0
1,0.35278994,0.64721006,1
1,0.42217952,0.5778205,1
1,0.5415301,0.45846993,0
1,0.7692903,0.23070966,0
0,0.97107124,0.02892873,0
0,0.8931954,0.1068046,0
0,0.8121233,0.18787672,0
0,0.50637716,0.49362284,0
0,0.7657554,0.23424457,0
0,0.75514174,0.2448583,0
1,0.7540283,0.24597166,0
1,0.7522073,0.2477927,0
0,0.80778515,0.19221483,0
1,0.84223425,0.15776575,0
0,0.87746745,0.122532554,0
0,0.95017606,0.049823936,0
0,0.93400013,0.065999836,0
0,0.9240733,0.0759267,0
1,0.8379906,0.16200943,0
1,0.90920573,0.09079426,0
1,0.8116061,0.1883939,0
1,0.8964131,0.10358692,0
0,0.800208,0.19979204,0
0,0.8865311,0.11346886,0
0,0.8581609,0.1418391,0
1,0.692122,0.30787802,0
1,0.69040763,0.3095924,0
0,0.7834545,0.21654552,0
1,0.34966767,0.65033233,1
0,0.5800946,0.41990545,0
0,0.5648488,0.43515125,0
0,0.61693174,0.38306826,0
0,0.7836923,0.21630771,0
1,0.72626925,0.27373075,0
1,0.41517836,0.58482164,1
1,0.66868144,0.33131856,0
0,0.59211814,0.4078819,0
0,0.8738423,0.1261577,0
0,0.9215919,0.07840814,0
